Name,Content_Warning,Related_Mange,staff
inabakumori: Rainy Boots,,,"Nukunukunigirimeshi : Director & Illustrator, Inabakumori : Producer & Song Composition & Song Lyrics, Kaai Yuki : Song Performance"
Van de Shop: RECEPTION,,,"Ido : Director, Van De Shop : Producer & Song Arrangement & Song Composition, Yuri Kuriyama : Song Lyrics & Song Performance, Flower : Song Performance, Haku Hitoi : Song Performance, Nagasaki : Song Performance, Shotaro Kaji : Song Performance, Sohei Kawai : Song Performance"
NILFRUITS: Night Rule,,,"Buōy : Director, Nilfruits : Producer & Song Composition & Song Lyrics, Kafu : Song Performance, Ryouma Nakamura : Mastering"
Rainych: Diamond City,,,"Tama Kashiwamori : Director, Rainych : Song Performance, Fall : Song Lyrics, Takahiro Eguchi : Song Arrangement & Song Composition"
"Chotto Ugoku!? ""Futeneko""",,,
Hashire John,,,
Mobile Suit Gundam: Hathaway's Flash II,,Mobile Suit Gundam: Hathaway's Flash (Light Novel),"Shuukou Murase : Director, Hiroyuki Sawano : Music, Naoyuki Onda : Character Design, Shigeki Kuhara : Character Design, Pablo Uchida : Character Design"
Mobile Suit Gundam: Hathaway's Flash III,,Mobile Suit Gundam: Hathaway's Flash (Light Novel),"Shuukou Murase : Director, Hiroyuki Sawano : Music, Naoyuki Onda : Character Design, Shigeki Kuhara : Character Design, Pablo Uchida : Character Design"
Yousei Chiitan,,,
Pugpug,,,
Gebageba Showtime!,,,"Renzo Kinoshita : Director & Character Design, Youichi Takahashi : Music, Norio Yamakawa : Producer, Daisaburou Hayashi : Producer"
Jingju Mao 4 Zhi Jiaota Shidi,,,
Heibai Wushuang 3rd Season,,Heibai Wushuang,
Pleasant Goat and Big Big Wolf: Happy Formula,,,
Miao Qiansui de Chengnian Li,,,
Jin Mu Shui Huo Tu,,,
Shaonian Huo Yuan Jia,,,
Xiaomi De Senlin,,,
Mu Mucun De Taoqi Chong Chong,,,
Xiangpi Ni Xiao Zhen,,,
experiment,,,"Naoyuki Tsuji : Director, Makiko Takanashi : Music"
Children of shadows,,,"Naoyuki Tsuji : Director, Makiko Takanashi : Music"
Cao Ren,,,
Hua Huli Yu Daodan Ya,,,
Jiutian Xing Dai Ni Wan Zhuan Xiqu,,,
Zhe Shui Qianqiu,,,
Koushui Zha Wan,,,
Xiao Shu Luo Fu Tiaozhan Ji,,,
Yiban Er,,,
Xiao Dingzi,,,
Lu He Niu,,,
Yeban Guai Sheng,,,
Meng Zhu Yijia,,,
Liang Zhang Bu Gao,,,
Luo Bo Hui Lai Le,,,
Jin Erhuan He Yin Chutou,,,
Fei Zhi Baike: Yuanlai Ni Shi Zheyang de Zhiwu 3rd Season,,,
Daozhi,,,Liu Zuofeng : Director
Xiaotu Taotao de Gushi,,,
Mandamgangho,,,
The Crimson Whale,,,Hye-Mi Park : Director
BanG Dream! Movie: Poppin' Dream!,,,
Pororo Goes to Korea,,,
The White Book,,,
Tanita Shokudou,,,
creator,,,"Hiroki Kono : Director, Yuichi Ito : Producer"
Cao Chong Cheng Xiang,,,Xi Jin : Director
Overlord Movie: Sei Oukoku-hen,,"Overlord (Light Novel), Overlord","Kugane Maruyama : Original Creator, So-Bin : Original Character Design"
Kuaile Chengzhang,,,
Ji Gong Chuanqi,,,
Ji Gong,,,
Hachimitsu Suicide Machine,,,
mayumi,,,"Chinami Taniguchi : Director, Yuriko Honda : Music, Koji Yamamura : Producer"
EMOMOMO,,,"Yama_Ko : Director, Ras : Music"
Pupa (2019),,,"Namiko Ishidate : Director, Kazuma Suzuki : Music, Koji Yamamura : Producer"
My Hero Academia 6,,My Hero Academia,"Kouhei Horikoshi : Original Creator, Kenji Nagasaki : Chief Director, Masahiro Mukai : Director, Yousuke Kuroda : Series Composition, Yuuki Hayashi : Music, Yoshihiko Umakoshi : Character Design, Hitomi Odashima : Character Design"
Tales of Luminaria: The Fateful Crossroad,,,"Shiori Katou : Director, Midori Katou : Director, Gou Shiina : Music, Shun Saeki : Character Design, Yoriko Tomita : Screenplay"
Kenda Master Ken,,,Itou Pierre : Director
Pipi De Gushi,,,
Adventures in Duckport,,,
Beidou Linghang Mengxiang,,,
Ju Long Shangu,,,
Yinshen Tan Zhang,,,
The Prince of Tennis II: U-17 World Cup,,"Prince of Tennis, Houkago no Ouji-sama, Shin Tennis no Ouji-sama","Takeshi Konomi : Original Creator, Keiichirou Kawaguchi : Director, Mitsutaka Hirota : Series Composition, Chihiro Tamaki : Music, Akiharu Ishii : Character Design & Chief Animation Director, Yuuta Nakamura : Photography Director, Akira Itou : Art Director, Yuuko Tsumori : Color Design"
Xiao Ying Jinji,,,
Jimu Wuqian Nian Zhi Jimu Chunqiu,,,
San Zhi Hu Die,,,
Around the World!,,,"Naoki Yoshibe : Director, Cranky : Music"
Fruit In The Bathroom,,,"Caori Murata : Director, Seiya Kashima : Music"
Xiuluo Wu Shen,,"Martial God Asura (Novel), Martial God Asura",
Eyes,,,"Ayaka Nakata : Director, Kaoru Ura : Music"
Dan Zhu Chuan Shuo,,,
flower (2019),,,"Chearin Oh : Director, Suzuka Fujimura : Music"
Koala's Goodbye Song,,,Asami Ike : Director & Song Composition & Song Lyrics
Mekaku City Reload,,Mari no Kakuu Sekai,
Saenggakboda Markeun,,,
Okaa-chan Gomen ne,,,
Slippy Dandy,,,
Little Women Recaps,,,
"Guan Yu, God of War",,,
nishina: Kedamono no Friends,,,"Sonnye Lim : Director, Nishina : Music & Song Performance"
Kero Kero Keroppi no Tomodachi wa Mahoutsukai,,,"Masami Hata : Director, Yoshihisa Shirakawa : Music, Junko Ina : Art Director, Kanji Akahori : Animation Director, Kouichi Kadowaki : Animation Director"
Be-Bop Kaizokuban,,Be-Bop Highschool,"Kazuhiro Kiuchi : Original Creator, Mitsuru Aoyama : Animation Director & Character Design"
Yawarakai Yuurei Tenji Kiroku,,,"Haruka Suzuki : Director, Unmo : Music"
Ye Si,,,
Nami Xueyuan,,,
Line Rangers (2016),,,
Under the Sun,,,Nobuhiro Aihara : Director
Zhonghua Dizi Gui,,,
Hailuo Wan,,,
Deliver Police: Nishitokyo-shi Deliver Keisatsutai,,,
Deep Sea,,,Tian Xiaopeng : Director
Real Koke-kun,,,Takashi Taniguchi : Director & Character Design
Lady Napoleon,,,"Shin Kibayashi : Original Creator, Noriaki Akitaya : Director"
Kururinpa at Planetarium: Mono no Mikata wa Hitotsu ja Nai yo!,,,
MOUSEMAN: Ai no Katamari,,,Itou Pierre : Director & Character Design
Lang Lai Le,,,
Grim,,,Takashi Itou : Director
Chaoji Fei Xia: Kan Zhong Guo,,,
Mi Le Mi Ke: Shenqi Haitun Dao,,,
Niru Kajitsu: Kilmer,,,"Wooma : Director, Nilfruits : Producer & Song Arrangement & Song Composition & Song Lyrics, Flower : Song Performance, Ryouma Nakamura : Mastering & Mix"
Lian Sheng San Ji,,,
Kaz: Summer is Over,,,"Mirai Mizue : Director, Fumiko Iino : Producer, Kaz : Song Performance, Mai Anna : Song Performance"
Xiao Ba Jie,,,
The Irregular at Magic High School (New),,The Irregular at Magic High School (Light Novel),"Tsutomu Satou : Original Creator, Kana Ishida : Original Character Design"
Shenyi Jiu Xiaojie,,,
Fish,,,Takena Nagao : Director
Vegetable,,,Takena Nagao : Director
inabakumori: Lagtrain,,,"Nukunukunigirimeshi : Director & Illustrator, Inabakumori : Producer & Song Composition & Song Lyrics, Kaai Yuki : Song Performance"
Delinquent Hamsters 2,,,"Yuupiso : Director, Ikupiso : Director"
Bakutsuri Bar Hunter Movie: Nazo no Bar Code Triangle! Bakutsure! Shinkaigyo Poseidon,,,
Ganbare! Bokura no Hit and Run,,,"Hiroyoshi Mitsunobu : Director, Hiroshi Kanazawa : Character Design, Shuuichi Kakesu : Editor"
Üks Uks,,,"Maya Yonesho : Director, Sven Grünberg : Music"
Shinshuu Sudama Hen,Explicit Violence,,"Satoshi Dezaki : Director, Michiaki Katou : Music, Keizou Shimizu : Character Design, Masahiro Seki : Producer, Shouzou Yoshida : Producer"
Moshidora Recap,,,
Gundam Reconguista in G Movie 3: Uchuu kara no Isan,,,Eriko Kimura : Sound Director
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,,"Is It Wrong to Try to Pick Up Girls in a Dungeon? (Light Novel), Is it Wrong to Try to Pick Up Girls in a Dungeon?","Fujino Oomori : Original Creator & Series Composition, Suzuhito Yasuda : Original Character Design, Hideki Tachibana : Director, Hideki Shirane : Series Composition, Keiji Inai : Music, Shigeki Kimoto : Character Design, Jin Aketagawa : Sound Director"
Ojii-chan ga Nokoshite Kureta Mono: Moetemo Moenai? Moenikui!,,,
Cosmo Samurai,,,
unpi,,,Haruka Suzuki : Director
Ultimate Path Martial Arts,,Ultimate Path Martial Arts,
Zhandou Ba Geji! 0,,,
Melting down,,,"Takuto Katayama : Director, Soushi Abe : Music, Taruto Fuyama : Producer"
Kotae wo Dasu no da,,,"I Luv Me : Song Arrangement & Song Performance, Mihono Satou : Song Composition & Song Lyrics, Thom Hawke : Song Arrangement"
At the Other End of the Table,,,"Lise Rémon : Director, Chikara Uemizutaru : Music, Mitsuko Okamoto : Producer"
Gigigoegoe: Seonghyeongsu,,Tales of the Unusual,
Zhihui Mima,,,
Hatched,,,
Ramen Chai Nyan,,,"Naoya Ishikawa : Director, Shunsuke Morita : Music"
Quanzhi Fashi VI,,"Versatile Mage (Novel), Versatile Mage",Chaos : Original Creator
Zhong Shu,,,
group_inou: ORIENTATION,,,"Ac-Bu : Director, Group_Inou : Song Performance"
group_inou: HEART,,,"Ac-Bu : Director, Group_Inou : Song Performance"
Bianma Xueyuan,,,
Qi Qi He Nu Na,,,
Invisible Touch,,,"Leina Muramatsu : Director, Yuriko Honda : Music, Yuichi Ito : Producer"
Riku ni Agatta Ningyo no Hanashi Pilot,,,"Randall Jarrell : Original Creator, Tomoyasu Murata : Director"
Wai Xing Ren Ago 2nd Season,,,
Wai Xing Ren Ago 3rd Season,,,
Muzhi Zong Dong Yuan,,,
Mole Zhuang Yuan: Zhou Bo Ju,,,
Xiao Bai Ge,,,
Ookami to Buta,,,Taijin Takeuchi : Director
Bing Zhu Qi Hun,,,
Watakushi-tachi no Hounen-sama,,,"Yugo Serikawa : Director, Seiji Yokoyama : Music"
Kuma no Minakuro to Kouhei Jiisan,,,
Kaijuu Step Wandabada 2nd Season,,,
Menghuan Shuyuan 3rd Season,,,
Beast Saga 2nd Season,,,
Warai no Show Gakkou,,,
Sacrificial Princess and the King of Beasts,,Sacrificial Princess and the King of Beasts,Yu Tomofuji : Original Creator
Bocchi the Rock!,,Bocchi the Rock!,"Aki Hamaji : Original Creator, Keiichirou Saitou : Director, Erika Yoshida : Series Composition, Kiyoki Rikuta : Character Design"
Chikyuu wo Mitsumete,,,
Island of Man,,,"Alimo : Director, Kozue Katsuragi : Music, Koji Yamamura : Producer"
Notteke Explet's,,,
Chuldong! Robot V,,,
Zombie Dumb,,,
Jianghai Yu Tong: Ju Gui Qi Yuan,,,
Jiangnan,,,
Xun Jian,,,
Guandong Sanbao Ji,,,
Cike Nieyinniang Qianchuan,,,
Koko ga Sekai no Subete nano,,,Chinami Taniguchi : Director
CARD: Jikan wo Sutete,,,"Onionskin : Director, Card : Song Performance"
sora tob sakana: Hakken,,,"Ai Sugaya : Director, Toshikazu Tamura : Animation Director, Sora Tob Sakana : Song Performance"
The North Face Japan: Back to School Campaign,,,Rimo : Director
Shadowverse Flame,,"Shadowverse: Arisa Duelverse, Shadowverse: Dengeki Comic Anthology","Keiichirou Kawaguchi : Director, Yoshihiro Ike : Music, Hiroki Harada : Character Design"
The Mummy's Dream,,,Takashi Itou : Director
Pai Le Meng Qi,,,
Me Me Xia,,,
Xingfu Lushang,,,
Pang Xiong He Da Hu,,,
Gesheng Fei Chu Wuzhishan,,,
Wo de Yi Jie Zhi Lu,,,
Wu Shan Wu Xing: Xichuan Huan Zi Lin,,,
Chuntian Li de Xiaotian Shu,,,
Teikou Penguin,,,
Neru: Jailbreak,,,"Shidu : Director & Illustrator, Neru : Producer & Song Composition & Song Lyrics, Rin Kagamine : Song Performance, Yasu : Mastering & Mix"
Hametarou,,,
Girlish Number Shura,,"Girlish Number Shura, Girlish Number (Light Novel), Girlish Number: Momoka Memorial",
Pittanko!! Nekozakana 2,,,"Kazumi Nonaka : Director, Hiroshi Nakamura : Music"
Nanumu no Ie,Mature Themes,,
Kyou mo Tsuno ga Aru,,,Takeshi Onaka : Director
Kaitou Gary no Nihonjin Kouryakuhou!,,,Shunji Ooga : Director
Daifuku-kun @ Kin Tele 2nd Season,,,
The Kaijuu Step,,,
Norasco,,,
Ooya-san to Boku,,,Hazumu Sakuta : Director
"The Girl From the Other Side: Siuil, a Run (2022)",,"The Girl From the Other Side: Siúil, a Rún","Nagabe : Original Creator, Yuutarou Kubo : Director & Character Design & Screenplay, Satomi Maiya : Director & Character Design & Screenplay, Schroeder-Headz : Music, Takeru Yokoi : Photography Director, Yuusuke Takeda : Art Director, Shouji Hata : Sound Director, Akari Saitou : Editor"
Seoulsori,,,
Zukkoke Sannin-gumi no Hi Asobi Boushi Daisakusen,,,
handshake,,,Ryoji Yamada : Director
Chao Neng Yongshi,,,
Tian You Fan Tong,,,
Hongse Chuanqi,,,
LINE,,,Nobuhiro Aihara : Director
Bai She Zhuan Zhi Bai Suzhen,,,Yang Jia Zhu : Director
Shadows House 2nd Season,,Shadows House,"Somato : Original Creator, Kazuki Oohashi : Director, Kenichirou Suehiro : Music, Chizuko Kusakabe : Character Design, Shihomi Shourin : Character Design, Hirofumi Sakagami : Art Director, Chihiro Gotou : Art Director, Sachiko Urushido : Color Design"
Afureko! AR,,,
Night of petroleum,,,Suyo Yamazaki : Director
Qiangzhe Shanggou,,,
Riow Arai: Death Breaks,,,"Shane Lester : Director, Riow Arai : Song Performance"
Bang Bang Long Chudong: Chuanshuo Zhong De Longwang,,,
Mob Psycho 100 III,,Mob Psycho 100,"One : Original Creator, Yuzuru Tachikawa : Chief Director, Takahiro Hasui : Director, Hiroshi Seko : Series Composition, Kenji Kawai : Music, Yoshimichi Kameda : Character Design, Kazuhiro Wakabayashi : Sound Director"
Yuan Yuan He Ji Qi Ren,,,
Xi Gua Pao,,,
Seishun no Kao,,,"Ai Miyata : Song Performance, Minoru Endou : Song Composition & Song Lyrics, Kei Wakakusa : Song Arrangement"
Bai Yao Pu 3rd Season,,"Bai Yao Pu (Novel), Hundred Demon Spectrum",
Sachiko Aoyama: Vanilla,,,"Takumi Shiga : Director, Sachiko Aoyama : Song Performance"
The Hyuga Episode of Kojiki,,,"Koji Yamamura : Director, Kouji Ueno : Music"
Kaji to Kouma,,,"Kazuomi Takagi : Director, Masahito Maruyama : Music"
Lycoris Recoil,,,"Asaura : Original Creator, Shingo Adachi : Director, Imigimuru : Character Design"
My song,,,"Takashi Ishida : Director & Key Animator, Kamata : Character Design & Screenplay, Arisa Kawamoto : Photography Director, Hideki Nakamura : Art Director, Ami Kutsuna : Color Design, Taroh Torii : Producer, Ichirou Chaen : Editor, Kosuke Iwanaga : Animation Director"
Hanako,,,"Mitsuru Sasaki : Director, Frédéric Chopin : Music"
Yattokame Tanteidan: New Year's Special,,,
Manga Naruhodo Monogatari OVA,,,
My Ghost Girlfriend,,,
Bip to Bap,,,
Dou Hun Wei: Xuan Yue Qiyuan II,,,
Aishiteru yo McCrea: McCrea no Koutsuu Anzen,,,
Midori-chan to Recycle-ku Shopping,,,
Kung Fu Bunny,,,
HYPONeX Japan: Shokubutsu no Kimochi-hen,,,Kouhei Yoshino : Director
Color Blots,,,"Saori Suzuki : Director, Miki Sakurai : Music, Koji Yamamura : Producer"
junxpunx: Technology Shamanism,,,"Akashic : Director, Junxpunx : Song Performance"
Mimoptera,,,"Shizuka Miyazaki : Director, Eunbyeol Chou : Music, Taruto Fuyama : Producer"
A Ben Mao,,,
Wo Men De Jia Yuan,,,
Blue Reflection Ray Recap,,,
Re:cycle of the Penguindrum Part II,,,Kunihiko Ikuhara : Director
Uchuu Camper Chicchi,,,Masatsugu Arakawa : Director
Detective Conan: Police Academy Arc - Wild Police Story,,"Case Closed, Detective Conan: Keisatsu Gakkou-hen - Wild Police Story","Takahiro Arai : Original Creator, Gosho Aoyama : Original Creator, Yasuichiro Yamamoto : Director, Nobuharu Kamanaka : Director & Episode Director & Series Composition & Storyboard, Junichi Iioka : Series Composition, Katsuo Ono : Music, Masatomo Sudou : Character Design, Masaki Yoshida : Photography Director"
Paperman,,,
Drill,,,Takashi Itou : Director
Thunder,,,Takashi Itou : Director
Mi Le Mi Ke: Shenqi Haitun Dao 2nd Season,,,
Shi Lai Yunzhuan,,,
Zi Sheng Chuanqi,,,
Xingguang Jiazu,,,
Wuzhuang Jingling,,,
Jimu Wuqian Nian Zhi Jimu Chunqiu 2nd Season,,,
Xiao Tu Tao Tao De Gushi: Bu Pa Leng De Da Yi,,,
Lu Dang Xiao Ying Xiong,,,
Xiang Bu Xiang,,,
On the way home,,,"Mizuki Kiyama : Director, Koji Yamamura : Producer"
Megaton Musashi 2nd Season,,,
Namoo,,,Erick Oh : Director
Olivia Rodrigo: drivers license,,,"Niina Ai : Director, Olivia Rodrigo : Song Performance"
Dareharu: Karma,,,"Rdr : Director, Chohee : Song Performance, Az : Song Performance, Seibin : Song Performance, Mitsukiyo : Song Performance, Kyung-Hwan Yoo : Song Performance, Ampstyle : Song Composition & Song Lyrics"
BLAME! Movie 2,,"BLAME!, NOiSE, BLAME! Academy and So On, BLAME! The Electrofishers' Escape",Tsutomu Nihei : Original Creator
McDull: Fan Bao Qibing,,,
Mabeob Chunjamun 2nd Season,,,
Dokkaebi Gamtu,,,
Alice Tantei Kyoku,,,"Masami Furukawa : Director, Toshiyuki Omori : Music, Rie Nishino : Character Design, Yoshihiro Nagamori : Character Design"
Penguin no Mondai Max,,,
Penguin no Mondai POW,,,
Dropkick on My Devil! X,,,Yukiwo : Original Creator
Sister,,,Siqi Song : Director
Yu Tong,,,Wan Guchan : Director
Hello Kitty Ringo no Mori to Parallel Town,,,
Ba Xian Guo Hai,,,
Xiaomei de Meng,,,Xi Jin : Director
Xiaobudian,,,
Saga of Tanya the Evil II,,"The Saga of Tanya the Evil (Light Novel), The Saga of Tanya the Evil","Carlo Zen : Original Creator, Shinobu Shinotsuki : Original Character Design, Yutaka Uemura : Director, Yuuji Hosogoe : Character Design & Chief Animation Director, Kenta Ihara : Screenplay"
Hoshi no Ouji-sama: Le Petit Prince,,,
Hoshi wo Mi ni Ikou,,,
Battle Mode,,,Hideaki Anno : Director
Majime ni Fumajime Kaiketsu Zorori: Uchuu Tanken Daisakusen - Chikyuu o Mezase! Hen,,,
Motoki Ohmori: Memento Mori,,,"Tarafu Otani : Director, Motoki Ohmori : Song Performance"
I follow rivers,,,Kohei Saito : Director
Shape of the Wind,,Shape of the Wind,
Tenma no Torayan,,,"Takeo Nakamura : Director, Akikazu Kouno : Director, Naoshi Miyazaki : Music"
Milk no Kevin the Movie,,,
Photodiary '87,,,Takashi Itou : Director
Gui Dao,,GhostBlade,
Xingguang Jiazu Tebie Pian,,,
Pi Pi Lixian Ji,,,
Chao Neng Xiao Yingxiong,,,
Konglong Zhanshi Mao Xiao Shuai,,,
Yoroyoro Tamatama,,,Souta Sugahara : Director & Song Performance
The Demon Sword Master of Excalibur Academy,,"The Demon Sword Master of Excalibur Academy (Light Novel), The Demon Sword Master of Excalibur Academy","Yuu Shimizu : Original Creator, Asaki Tohsaka : Original Character Design"
Man Youqu,,,
Showa Joshi Daigaku Kankyou Design Gakka PV,,,Ryu Kato : Director
I’ve Been Killing Slimes for 300 Years and Maxed Out My Level 2nd Season,,"I've Been Killing Slimes for 300 Years and Maxed Out My Level (Light Novel), I’ve Been Killing Slimes for 300 Years and Maxed Out My Level",
World Peacekeepers,,,
Sanpou Shoujo,,Sanpou Shoujo,
Wala! Pyeon-uijeom The Animation,,Wara! Pyunuijum,
Stuck Rabbit: New Year 2015,,,
Utawarerumono: Mask of Truth,,,"Kenichi Kawamura : Director, Itsuki Yokoyama : Series Composition, Aquaplus : Music, Masahiko Nakada : Character Design"
Uchi no 3 Shimai Movie,,,
Futari wa Nakayoshi: Goo to Sue,,,
Rainbow no Anime Bako,,,
Penguin no Mondai DX?,,,
Tong Tong: You You no Hi no Youjin,,,
Fushouji no Mizen Boushi: Saihatsu Boushi Series,,,
Zhandou Ba Geji!,,,
Mo Di Qiyu Ji,,,
Buonomo TV,,,Mai Tominaga : Director
Osawaga! Super Baby,,,"Junichi Satou : Director, Akiko Kosaka : Music, Shigeru Nishiyama : Editor, Shunichi Yukimuro : Screenplay, Akira Inagami : Animation Director, Mamoru Hosoda : Key Animator"
Rock'n Oyone,,,Akira Shigino : Director
Yi Nian Yongheng 2nd Season,,"A Will Eternal (Novel), A Will Eternal",Er Gen : Original Creator
Fairy Tail: 100 Years Quest,,"Fairy Tail, Fairy Tail: 100 Years Quest","Hiro Mashima : Original Creator, Atsuo Ueda : Original Creator"
Maiasa Taihen Nandesu,,,Hiroto Nagata : Director
Ashuai 6th Season,,,
Mofa Chuanshuo,,,
Xinxin,,,
Gold Fish,Explicit Violence,,Wang Dengyu : Director
Qi Ren You Tian,,,
Lao Po Po de Zao Shu,,,
The God of Death OP,,,"Junichi Watanabe : Director, Angel Note : Music, Yuuko Kanemaru : Color Design, Akiyuki Simbo : Storyboard, Jun Yoshida : Animation Director & Key Animator"
Mobile Suit SD Gundam The Movie: Musha Knight Commando: SD Gundam Scramble,,,
Tomodachi Game,,Tomodachi Game,"Mikoto Yamaguchi : Original Creator, Hirofumi Ogura : Director, Kenta Ihara : Series Composition, Michiru : Music, Satomi Miyazaki : Character Design"
Qi Guai De Bing Hao,,,
Zai Na Yaoyuan Di Difang,,,
Mazica Party Movie,,,
Yowamushi Pedal: Limit Break,,,Wataru Watanabe : Original Creator
Communicate,,,"Erick Oh : Director, Jay Vincent : Music, Robert Kiraz : Producer"
Yakousei no Ikimono,,,Takahiro Shibata : Director
Water Dream,,,Koji Yamamura : Director
The Curious Kitty & Friends,,,Tsuneo Goda : Director & Character Design
Little Mole and Panda,,,
Nijuuseiki Denki Mokuroku,,Nijuuseiki Denki Mokuroku (Light Novel),Hiroshi Yuuki : Original Creator
Boku wa Ou-sama (1994),,,"Jun Takagi : Director, Satoru Iriyoshi : Character Design"
Huainanzi Chuanqi 2nd Season,,,
Du Dang Man,,,
Dalbit Gunggwol,,,
Taka no Tsume-dan no Ike! ODA Man,,,
Yumi Kojima: Kappapa,,,Yumi Kojima : Music
Harimogu Harry,,,
Weiqi Shaonian,,,
Kuiba Yao Xia Zhuan,,,
Ni Zhenshi Ge Tiancai,,,
Xing Da Xing Donghua Xilie Zhi: Taikong Chuan,,,
Chao Shen Youxi,,Chao Shen Youxi,
Shenmi Shijie Lixian Ji Movie 4,,,
Ashuai,,,
Long Wa,,,
Quanzhi Gaoshou 3,,"The King’s Avatar (Novel), The King's Avatar, The King's Avatar (2020)",Butterfly Blue : Original Creator
Kaijuu Step SDGs Daisakusen,,,"Mai Nihei : Director, Akiyuki Tateyama : Music"
TwinBee: WinBee's ⅛ Panic,,,"Yasunori Ide : Director, Yoshikazu Iwanami : Sound Director"
Jiaru Wo Shi Wusong,,,
Gu Boshi Di Xin Fa Xian,,,
Venus,,,Takashi Itou : Director
Maeumui Sori,,The Sound of Your Heart,
Qimiao Huan Youji,,,
Filly Funtasia,,,
Qin Tianlong Wangzi,,,
Xiao Yang Duo Li,,,
Xiongmao Sanbao: Meng Chong Weishi,,,
An introduction of human zoology,,,Tomoyasu Murata : Director
BURP,,,Tomoyasu Murata : Director
Huo Hong De Yan Biao,,,
Taiji Xiao Zi,,,
Oshiri Tantei Movie 4: Shiriarty,,,Troll : Original Creator
"Boku datte, Kirei ni Shitainda",Bullying,,
Kogitsune no Okurimono,,,
YUZU7,,,
Rent-A-Girlfriend 2,,"Rent-A-Girlfriend, Rent-A-(Really Shy!)-Girlfriend",Reiji Miyajima : Original Creator
Taiyi Xianmo Lu Zhi Ling Fei Ji 3rd Season,,,
Hua Jianghu Zhi Gui Yexing,,,
Shinsengumi Kitchen Diary,,,
Ningen Kaishuusha,,Ningen Kaishuusha,
Electro Boy,,,
Hai Beibei,,,
Fu Wu Shu: Zhanguo Fengyun,,,
Nono Senlin,,,
Kala Yuedui,,,
Tenjin,,,Noriyuki Fukuda : Director
Zap Cat,,,"Nobuhiro Aihara : Director, Linda : Music"
Shounen Sunday CM: Cheeky Angel,,Cheeky Angel,Hiroyuki Nishimori : Original Creator
Baobao Yue Xuetang: Binfen Kuaile Hao,,,
"out ""HI"" line",,,Tochka : Director
Cardfight!! Vanguard: overDress 4th Season,,,
ItimatuSuzuka: Ultimate Love Song!!!!!!!,,,
Jing Zhong Baoguo,,,
Detective Conan: The Culprit Hanazawa,,Meitantei Conan: Hannin no Hanzawa-san,"Gosho Aoyama : Original Creator, Mayuko Kanba : Original Creator"
TwinBee: Tulip Kaigan Monogatari,,,
Wall,,,Takashi Itou : Director
Yuzhou Xing Shen 10 Zhounian Zhong Zhiban,,,
Xiongmao Sanbao: Meng Chong Weishi 2,,,
Xiao Yang Duo Li 2nd Season,,,
Pai Le Meng Qi 2,,,
Wang,,,
Jia You Dou Ding,,,
Ao Fei Q Chong,,,
Muzhi Zong Dong Yuan: Yulin Qiyu,,,
Zhi Ren Dao Luan Ji,,,
Zhi Ren Guo,,,
Technoroid,,,
Choujikuu Robo Meguru,,,Keiji Gotou : Director & Character Design
Shinmai,,,
Steady x Study,,,
IDOLiSH7: Third BEAT - Part II,,,
Castle,,,"Ryoutaro Miyajima : Director, Yoshiki Masuda : Music"
Pleasant Goat and Big Big Wolf: The Intriguing Alien Guests,,,
Shounen Sunday CM: All-Star Total Appearance,,,
Super Majingga 3,,,
Xiaosong Dangjia,,,
The Autobots,,,
Ai no Kakato,,,"Madoka : Director, Shota Kowashi : Music, Soushi Abe : Music, Taruto Fuyama : Producer"
Qian Tongxing Jiazu,,,
Chuangyi Hao Shaonian,,,
Sirotsumekusa,,,
Buonomo no Bustaman,,,Mai Tominaga : Director
Yellow Fish,,,Nobuhiro Aihara : Director
Monogatari wo kimi e.: Fukaku ni Q2 Ending Animation,,,Tomotaka Wakimoto : Director
Zhu Xian,,,
Wu Chengen Ji Yao Lu,,,
Mao Zhi Ming,,Cat of Tea,
Renwu Dashi,,,
Ruguo Lishi Shi Yiqun Miao 6,,,
Mu Ji Banjia,,,
La Muerte,,,Jeongseok Kim : Director
Xiao Ma Fei Li: Binfen Xianjing 2nd Season,,,
Jing Ling Qi Yuan,,,
Budai Xiao Heshang,,,
23 Hao Niu Nai Tang,,,
Hulu Xiongdi Movie,,,
Xin Hulu Xiongdi,,,
Tao Qi De Jin Si Hou,,,
Hua Jianghu Zhi Buliang Ren V,,,
Hong Ling Jin,,,
XXX: Seungmuwon,Explicit Violence,,"Mattis Dovier : Director, Xxx : Song Performance"
Aggretsuko 5,,,
Hoshi Musume,,,Osamu Yamasaki : Director
Miraijin Go Home,,,Shigeo Shichiji : Director
Sugai-kun to Kazoku Ishi The Movie,,,
Papan Ga Panda!,,,
Boku News,,,
Bird in the Peninsula,,,Atsushi Wada : Director & Original Creator
Arms Rally,,,Shigeyoshi Tsukahara : Director
Sheng Si Hui Fang,,,
Gaegujangi Cheonsadeul,,,
Nihon Omoshiro Mukashibanashi,,,"Katsunari Mochizuki : Producer & Director, Mario Gogatsubyou : Character Design, Yusuke Tsuruoka : Producer"
"Boku no Kanojo, Yabanyan",,"Boku no Kanojo, Yabanyan",Sorosoro Tanigawa : Original Creator
Manga Nihon Keizai Nyuumon,,,"Shotaro Ishinomori : Original Creator, Takenori Kawada : Director, Hitoshi Nagao : Art Director"
MaMa,,,Asuka Dokai : Director
Ditou Rensheng,,,Xie Chenglin : Director
